name,display_name,version,category,technical_category,author,summary,description,depends,auto_install,installable,application,path,manifest_file
gamification,Gamification,1.0,Third-Party,Human Resources,Unknown,,"
Gamification process
====================
The Gamification module provides ways to evaluate and motivate the users of Odoo.

The users can be evaluated using goals and numerical objectives to reach.
","mail, web_kanban_gauge",False,True,False,addons/gamification,__manifest__.py
website_slides_forum,Forum on Courses,1.0,Third-Party,Website/eLearning,Unknown,Allows to link forum on a course,"A Slide channel can be linked to forum. Also, profiles from slide and forum are regrouped together","website_slides, website_forum",True,True,False,addons/website_slides_forum,__manifest__.py
pos_discount,Point of Sale Discounts,1.0,Third-Party,Sales/Point of Sale,Unknown,Simple Discounts in the Point of Sale ,"

This module allows the cashier to quickly give percentage-based
discount to a customer.

",point_of_sale,False,True,False,addons/pos_discount,__manifest__.py
hr_attendance,Attendances,2.0,Third-Party,Human Resources/Attendances,Unknown,Track employee attendance,"
This module aims to manage employee's attendances.
==================================================

Keeps account of the attendances of the employees on the basis of the
actions(Check in/Check out","hr, barcodes",False,True,True,addons/hr_attendance,__manifest__.py
stock_dropshipping,Drop Shipping,1.0,Third-Party,Inventory/Inventory,Unknown,Drop Shipping,"
Manage drop shipping orders
===========================

This module adds a pre-configured Drop Shipping operation type
as well as a procurement route that allow configuring Drop
Shipping products an",sale_purchase_stock,False,True,False,addons/stock_dropshipping,__manifest__.py
website_links,Link Tracker,1.0,Third-Party,Website/Website,Unknown,Generate trackable & short URLs,"
Generate short links with analytics trackers (UTM) to share your pages through marketing campaigns.
Those trackers can be used in Google Analytics to track clicks and visitors, or in Odoo reports to ","website, link_tracker",True,True,False,addons/website_links,__manifest__.py
website_sale_product_configurator,Website Sale Product Configurator,0.1,Third-Party,Hidden,Unknown,"
        Bridge module for website_sale / sale_product_configurator","
        Bridge module to make the website e-commerce compatible with the product configurator
    ","website_sale, sale_product_configurator",True,True,False,addons/website_sale_product_configurator,__manifest__.py
mass_mailing_slides,Mass mailing on course members,1.0,Third-Party,Hidden,Unknown,,"
Mass mail course members
========================

Bridge module adding UX requirements to ease mass mailing of course members.
        ","website_slides, mass_mailing",True,True,False,addons/mass_mailing_slides,__manifest__.py
mrp_landed_costs,Landed Costs On MO,1.0,Third-Party,Manufacturing/Manufacturing,Unknown,Landed Costs on Manufacturing Order,"
This module allows you to easily add extra costs on manufacturing order 
and decide the split of these costs among their stock moves in order to 
take them into account in your stock valuation.
    ","stock_landed_costs, mrp",True,True,False,addons/mrp_landed_costs,__manifest__.py
website_slides_survey,Course Certifications,1.0,Third-Party,Website/eLearning,Unknown,Add certification capabilities to your courses,This module lets you use the full power of certifications within your courses.,"website_slides, survey",True,True,False,addons/website_slides_survey,__manifest__.py
account_fleet,Accounting/Fleet bridge,1.0,Third-Party,Accounting/Accounting,Unknown,Manage accounting with fleets,,"fleet, account",True,True,False,addons/account_fleet,__manifest__.py
auth_signup,Signup,1.0,Third-Party,Hidden/Tools,Unknown,,"
Allow users to sign up and reset their password
===============================================
    ","base_setup, mail, web",True,True,False,addons/auth_signup,__manifest__.py
hr_skills_survey,Skills Certification,1.0,Third-Party,Hidden,Unknown,Add certification to resumé of your employees,"
Certification and Skills for HR
===============================

This module adds certification to resumé for employees.
        ","hr_skills, survey",True,True,False,addons/hr_skills_survey,__manifest__.py
l10n_ec,Ecuadorian Accounting,3.3,Third-Party,Accounting/Localizations/Account Charts,OPA CONSULTING & TRESCLOUD,,"
Functional
----------

This module adds accounting features for Ecuadorian localization, which
represent the minimum requirements to operate a business in Ecuador in compliance
with local regulation ","base, base_iban, account, account_debit_note, l10n_latam_invoice_document, l10n_latam_base",False,True,False,addons/l10n_ec,__manifest__.py
crm_livechat,CRM Livechat,15.0.1.0.0,Third-Party,Sales/CRM,Unknown,Create lead from livechat conversation,Create new lead with using /lead command in the channel,"crm, im_livechat",True,True,False,addons/crm_livechat,__manifest__.py
l10n_in,Indian - Accounting,2.0,Third-Party,Accounting/Localizations/Account Charts,Unknown,,"
Indian Accounting: Chart of Account.
====================================

Indian accounting chart and localization.

Odoo allows to manage Indian Accounting by providing Two Formats Of Chart of Acco","account_tax_python, base_vat",False,True,False,addons/l10n_in,__manifest__.py
pos_hr,pos_hr,15.0.1.0.0,Third-Party,Hidden,Unknown,Link module between Point of Sale and HR,"
This module allows Employees (and not users) to log in to the Point of Sale application using a barcode, a PIN number or both.
The actual till still requires one user but an unlimited number of emplo","point_of_sale, hr",True,True,False,addons/pos_hr,__manifest__.py
website_sale_stock_product_configurator,Website Sale Stock Product Configurator,1.0,Third-Party,Hidden,Unknown,"
        Bridge module for website_sale_stock / sale_product_configurator","
        Bridge module to make the website e-commerce stock management compatible with the product configurator
    ","website_sale_stock, sale_product_configurator",True,True,False,addons/website_sale_stock_product_configurator,__manifest__.py
hr_holidays,Time Off,1.5,Third-Party,Human Resources/Time Off,Unknown,Allocate PTOs and follow leaves requests,"
Manage time off requests and allocations
=====================================

This application controls the time off schedule of your company. It allows employees to request time off. Then, manager","hr, calendar, resource",False,True,True,addons/hr_holidays,__manifest__.py
website_blog,Blogs,1.1,Third-Party,Website/Website,Unknown,"Publish blog posts, announces, news",,"website_mail, website_partner",False,True,True,addons/website_blog,__manifest__.py
l10n_bg,Bulgaria - Accounting,1.0,Core,Accounting/Localizations/Account Charts,Odoo S.A.,,"
        Chart accounting and taxes for Bulgaria
    ","account, base_vat, l10n_multilang",False,True,False,addons/l10n_bg,__manifest__.py
